geoid,county_name,is_independent_city,aland_sqmi,region,total_population,households,median_hh_income,per_capita_income,median_age,pop_density_sqmi,pop_growth_pct,mhi_growth_pct,mhi_growth_real_pct,max_aadt,interstate_max_aadt,interstate_miles,vmt_proxy,establishments_all,gas_stations,food_service_estabs,gas_stations_per_10k,dist_interstate_mi,dist_open_bucees_mi,dist_any_bucees_mi,interstate_crosses_county
51155,Pulaski County,0,319.838901072227,,33771,14386,60767.0,35650.0,46.9,105.6,-1.35,15.44,-4.86,47000.0,47000.0,30.884900182296168,2272357.9258397706,641,20.0,56.0,5.92,0.3516429629804649,132.6290562993992,104.3028747273504,True
51157,Rappahannock County,0,266.37223400631706,,7409,2861,98125.0,57136.0,50.1,27.8,1.05,43.38,18.16,6700.0,,,351710.4367758944,197,4.0,12.0,5.4,16.126108555488532,47.43643998060785,42.260677243418996,False
51159,Richmond County,0,191.477877454682,,9047,2931,64184.0,27687.0,46.1,47.2,1.9,28.8,6.15,15000.0,,,459342.79436892556,195,4.0,13.0,4.42,33.635593204480685,123.27791514034136,34.16883739519998,False
51161,Roanoke County,0,250.54751155433527,,96793,39231,82931.0,44817.0,43.7,386.3,3.43,26.68,4.39,78000.0,78000.0,49.35989134702826,5467692.852666014,2145,26.0,139.0,2.69,2.1476983681287933,97.64344967406596,93.22995593499758,True
51163,Rockbridge County,0,596.5483960463276,,22578,9552,63975.0,37739.0,49.7,37.8,0.31,16.73,-3.8,49000.0,49000.0,103.05760732361374,4304460.697277325,458,17.0,29.0,7.53,0.35561698715991263,46.91517240384736,46.91517240384736,True
51165,Rockingham County,0,849.7934655439284,,84739,32048,78468.0,39011.0,40.3,99.7,6.67,31.18,8.11,59000.0,59000.0,49.90945102165981,4934138.746826562,1648,25.0,92.0,2.95,4.057322870813084,11.199758484542118,11.199758484542118,True
51167,Russell County,0,473.5239413284009,,25635,10470,49020.0,28484.0,46.5,54.1,-6.47,24.16,2.32,14000.0,,,1154738.6556149884,436,16.0,30.0,6.24,17.261032693402807,107.28649154803394,107.28649154803394,False
51169,Scott County,0,535.8272698093436,,21504,8951,45136.0,28009.0,47.6,40.1,-2.29,15.31,-4.97,28000.0,,,1051961.4957712989,260,23.0,22.0,10.7,8.474634444109116,75.80465742859981,75.80465742859981,False
51171,Shenandoah County,0,508.07929957226145,,44630,17782,64437.0,35360.0,42.9,87.8,3.68,17.33,-3.31,62000.0,62000.0,71.08219829398364,4251322.079311732,922,25.0,86.0,5.6,1.2827424378714758,39.73760518411464,39.73760518411464,True
51173,Smyth County,0,451.4396912997088,,29585,12530,46859.0,29369.0,46.2,65.5,-4.75,15.92,-4.47,36000.0,36000.0,50.48227568512013,2089487.4950981173,499,15.0,50.0,5.07,1.4783207667886085,130.37189731416453,130.37189731416453,True
51175,Southampton County,0,599.1957120601106,,17988,6887,68465.0,32981.0,46.9,30.0,0.27,25.37,3.32,21000.0,,,1568193.5925346229,209,12.0,4.0,6.67,19.638665264317453,150.721076388537,53.91473250235252,False
51177,Spotsylvania County,0,401.9683155475716,,143876,51289,109576.0,46837.0,38.3,357.9,9.48,28.41,5.83,190000.0,190000.0,26.558525898229135,7411247.784007469,2811,38.0,217.0,2.64,8.252267068255648,70.10412063262058,19.274232854847636,True
51179,Stafford County,0,269.2050006783804,,160520,51309,133792.0,51999.0,36.3,596.3,11.46,25.31,3.26,260000.0,260000.0,33.64963925150489,7340218.503641502,2570,25.0,196.0,1.56,1.6690806279074277,79.89962182802982,0.27121202383091797,True
51181,Surry County,0,278.94944734177676,,6552,2755,71458.0,38105.0,50.7,23.5,-0.73,30.29,7.38,5300.0,,,194168.6471279123,87,,5.0,,17.24228226555103,140.37768776667284,27.279347119818464,False
51183,Sussex County,0,490.22580371432053,,10793,3705,62821.0,30457.0,41.0,22.0,-6.03,37.16,13.04,39000.0,39000.0,39.890652460591824,2034661.9263966954,184,11.0,16.0,10.19,7.345915797863857,134.60242398495384,42.26920713617073,True
